stars,useful,funny,cool,text
1.0,1,0,0,"want pay la carte place  
 food terrible impressive 
 bring basket chip tomato sauce ask politely spicy pico de gallo   bring happily salsa well   ask like drink ask coke bring bottle state want fountain drink   say oh pepsi   mention bottle drink coke  
 order food reasonably price ask sour cream cheese taco   let know cheese extra  
 $ 2.50 extra basket chip  
 receive bill pay condiment actual food   sour cream 2.00 pico de gallo 2.50 salsa 2.00 chip 2.50 cheese 1.00 bottled coke want 5.00  
 suggestion order sure ask extra charge"
4.0,0,0,0,cafe extremely cute come NUM jazz band play time get breakfast sandwich delicious love roll egg bacon piece inside great price filling breakfast
5.0,3,1,1,"scale thing awesome place bomb 

 draw promise duckfat frenchfrie take boy birthday drink corner wait give seat bar NUM minute 

 wait keith bartender congenial knowledgeable whiskey cool guy start NUM cape salt boy tater tot happy 

 dinner get kentucky fried quail stellar succotash exciting want boy get NUM $ fois gras burger incredible worth penny duckfat fry pretty yummy good meal cheese sauce deter 

 look forward come know"
2.0,2,0,0,start artichoke dip big mistake cold chip stale mention waitress come   order large pizza thin crust add topping bit pricey pizza   pizza ok great advocate server good   cardinals game well try venue time
4.0,0,0,0,fiance birthday decide want good lay thai restaurant dinner yelp steer jasmine rice direction definitely good decision want summer roll menu apparently available summer settle pan fried dumpling flavor good think order get green curry fry rice duck chicken pad thai dish great duck steal tasty duck pad thai bit sweet think try different noodle dish return good especially chili sauce mix service good people issue table rush kimmel center wait meal go late person get miss item owner realize call walk dish house nice overall good quality thai definitely
5.0,1,1,0,absolutely love courtney hand good hairstylist reason think great know look well past year understand limit style salon tell cut hair think look well leave blow away know great stylist specify want instead need great stylist great personality knowledgeable highly recommend want look good
3.0,1,0,0,"location time live area chain exactly sexy job occasion    need oil change place ok need state inspection place    key get busy wait   

 fancy pep boy pep boy decent stuff"
5.0,1,0,0,replace NUM old NUM lennox NUM new one   great job runnong NUM year
4.0,0,0,0,"love brewpub variety dish   nachos pizza sandwich   variety beer choose craft right sight  

 time service slow   think pace restaurant   quick beer bite food   instead enjoy patio friend savor time  

 kid dog friendly environment   great vegetarian vegan friend  

 half order nachos fish chip  

 try pumpkin seasonal beer par favorite pumpkin"
5.0,0,0,0,farmhouse rustic chic helpful staff great idea decorate home price reasonable store item joanna gaines fixer upper finally good home store sb reasonable price
5.0,0,0,0,brother come visit want pick pack good beer night end stay have play nintendo NUM super smash brothers owner say donate fellow patron great place good food genuinely nice people staple northeast
4.0,0,0,1,"menu coconut soup pad thai protein try menu 
 actually like coconut soup coconut milk soup creamy power herb americanized thai cuisine prefer herb dish cilantro 
 pat thai great like peanut noodle chewy perfect sweet give generous chicken white meat dry happy meal"
4.0,1,0,0,excellent service great diner food breakfast serve day come lunch- busy friendly hospitable easy NUM
4.0,0,0,0,"spot saturday night real bum lucys close pleasantly surprised bar street 
 food well expect wing fry careful wtf sauce take real long time bartender attention place usually pack lucky sunny crew pop"
5.0,0,0,0,"bit weary try shellfish company wharf place like cannery row monterey feast captive audience provide sub standard fare high price 

 embolden perennial good review yelp suppress initial observation go ahead try place small definitely plan ahead wait know try visit outside peak hour luckily wait NUM minute dinner rush level 

 special local rock crab $ NUM NUM lbs california rock crab salad choice soup chowder take look tray rock crab serve wife opt look awesome  

 salad chowder combo great actually receive hearty portion good start like chowder shrimp bisque wife order amazing recommend go forward 

 prattling dish rock crab taste glorious look juicy buttery chunk white crab meat await crack away rock crab shell pretty thick crack splinter separate easily good sign cook perfection rock crab provide great meat feel work go crab king 

 thoroughly satisfied meal special overall great value devour rock crab sbsc turn favorite meal trip think order crab safe proposition"
5.0,7,0,3,love weaver way disagree content previous review ww necessarily mean convenience shopping single woman find trouble shop co op peak time actually find co op great place shop live small quantity item shop corporate store like acme enjoy work hour work store recently get hour participate membership committee community necessarily tree hugger earth child community variety similarly minded folk different background enjoy have place obtain locally grow produce place offer natural wholesome preservative free food chain store price way foods enjoy interact member contribute local global community find membership fee work hour prohibitive single person vs. family think membership co op single definitely solo decision keen commit weaver way value find well place shop stick chain store pay NUM visitor fee pop
3.0,1,0,0,honestly food knock sock people love place husband like different bbq spot guess depend order
1.0,3,0,0,tv show $ 4.99 commercial cheesy way money sign classy hotel particularly pay $ NUM night   complimentary breakfast overpriced buffet cheap hotel california provide
5.0,0,0,0,stop hotel stay guy work shop super nice friendly like buy deal order hot wing pretty good ton sauce awesome time come town sure stop pizza
5.0,1,1,1,cannoli awesome freshly fill order filling phenomenal sweet perfect like cannoli think like cannoli definitely termini bros.
5.0,0,0,0,travel rv stop granite city find little gem cafe enter staff sweet friendly like home cooking eat twice food choice fresh delicious like fix home yum
4.0,0,0,0,NUM week work area finally find place magazine overrate friendly staff y'all know love phò pretty damn good
5.0,0,0,0,family return breakfast weekend food service impeccable highly recommend
5.0,2,0,2,kayaking tour santa cruz island great   husband wonderful time   jen tour guide helpful informative   lot fun explore cave   expect tour definitely exceed expectation
5.0,0,0,0,definitely recommend look delicious meal reasonable price shrimp goat cheese crepe
5.0,0,0,0,"live stl area way NUM year ashamed remorseful admit eat time week ago ashamed st. louis tradition remorseful miss year 

 place amazing love factory tour friday sunday noon-5pm hour shop bar dining area host event live music weekend fun kind wander look worry chance likely wait dine beer course amazing hefeweizen personal favorite great start huge beer drinker like additionally food homegrown damn good pizza recommendation server spectacular admittedly pizza connoisseur enjoy good pizza pie probably p date bison burger good 

 fun info service great think tend hire funky alternative people like tattoo parlor staff support quality make place stand emphasis local food brewery 

 little pricy experience quality worth probably"
1.0,1,0,0,"zero order plain hamburger realize   bacon allergic unable eat bite go drive window complain realize actual restaurant open NUM guy take burger say disappear NUM minute awkwardly make conversation people line car come rudely tell inside food apology 

 refuse ordeal shame nice variety place dt guess freebirds"
5.0,1,0,0,time great job satisfied car wash   service receive thank
5.0,0,0,0,"start go sushi nara month open short time ago   love place clean staff friendly acommodating service fast   sushi delicious NUM time price reasonable fact week husband stop buy NUM sushi roll total $ NUM   amazing  

 love freshness food huge selection choose 

 eastside check place"
5.0,0,0,0,awesome little shop   owner know stuff tell love work   tire part will find
5.0,0,0,0,time food good hidden gem florissant good panang curry sister restaurant want satisfied fare
3.0,1,0,1,food merit maybe star extra star like menu try design concept   sadly tomato basil soup taste kind like weak marinara tuna melt type sandwich sharp put flavor   citrusy sure love lemon tuna melt lemon zest way overpower   think time focus dish cure italian meat mortadella prosciutto   baked good sound pretty good especially nutella bruschetta
1.0,0,0,0,visit disappointed veggie pizza husband sub sandwich   tomato sauce tasty use cheese pizza   dough look taste like prepare machine   improve rush try second time
3.0,0,0,0,"couple friend stop late night milkshake find ice cream get ice cream fully take advantage imply maybe time 

 NUM milkshake NUM coffee NUM chocolate NUM black&white malt 

 pretty good definitely satisfy ice cream craving think coffee milkshake thick go chocolate black&white plenty thick probably good unfortunately order settle creamy coffee 

 sample ice cream flavor set milkshake try pumpkin pie amazing know maybe milkshake way"
5.0,0,0,0,"husband take mother 100th birthday 
 treatment receive great table view delicious compliment chef extra dish beautifully decorate cake plate warm attentive server expect special occasion wonderfully memorable experience"
5.0,4,0,0,"man place nice bartender awesome try burger fresh local ingredient plate food see come look amazing 

 beer cold drink mix perfectly   chain restaurant dedicated local place good employee"
3.0,2,1,0,"visit restaurant NUM time NUM day stay crazy right list reason pro 

 stay nearby hotel 
 restaurant open NUM 10:30 pretty day include new year day fit schedule 
 party chance seat right away 
 $ NUM dozen oyster great deal standard 
 seafood shop door sell boil fresh seafood to- 
 server friendly recognize single time 

 want talk reason NUM star 

 try bunch stuff pretty mediocre raw oyster clean schedule flexible superior seafood happy hour NUM cent oyster well quality cheap turtle soup strange taste definitely prefer felix portion boil shrimp mushy somhow maybe boil long 
 ambient invite comfortable basically finish food 
 clean bathroom 

 probably visit stay area time simply pick seafood quickly"
1.0,0,1,0,skip train wreck look dinner   server clueless like seriously think lose restaurant   ask setup water refill etc   order chicken parmesan get eggplant parmesan instead fish bone   drink good
2.0,2,2,1,meh tds restaurant cold literally figuratively decor menu board stainless steel prep table dining table soda machine staff identification shirt nametag etc food reasonably price good irk party fact charge extra salsa order salsa trio include NUM sample salsa NUM oz glass prep bowl brother ask salsa taco mind order taco burrito guacamole tell buy trio spend $ NUM food drink app food decent return atmosphere blah extra salsa damn taco
5.0,1,0,0,incredibly happy picture angela clifton photography work NUM time happy single picture take photo fabulous fun experience price extremely reasonable picture keepsake cherish forever
4.0,0,0,0,enjoy fish sidewalk table   bit pricey food good   street french quarter u want quieter dining outside
4.0,0,1,0,court house old art great spiral staircase funny view entire city 5th level tower clock room surprising mechanical gear inside need prior appointment clock room worth spend NUM NUM hour time
5.0,0,0,0,pleasure meet ann today extremely helpful positive go 1st experience amazing absolute regular customer day forward thank girlie
4.0,7,0,0,time try place   surprisingly surprised combination dinner pad thai coconut soup soup tasty coconut soup pad thai exactly expect disappoint restaurant great thai decor music staff service notch town selection food great change pace place carp
5.0,0,0,0,place chill relaxing come definitely list stop mention artist perform fun eclectic   mean country version let love
4.0,0,0,0,"d smoothie king center know new orleans arena nice surprise arena face lift seat   refresh   

 importantly   food option far varied appeal taste   quality food good significantly improve year drink option improve include service bar spiked lemonade   bottled draft beer course smoothie   spot sweet funnel cake cotton candy kind delicious thing  

 venue finally feel bit swanky notch   move"
4.0,0,0,0,know tummy feel icky count chipotle stake fix remember lunch time usually NUM NUM peaceful calm busy service friendly fast
5.0,3,0,0,admit expect place totally blow away good indian restaurant tampa bay ambience wonderful include white table linen good food omg chicken NUM die hot sour soup rich flavorful waitress angel friendly   attentive pleasant open week ago sure soon place foodie seek real indian food
5.0,0,0,0,"wait trip nola actually door   time try wait line time get smart buy reserve seat bench worth extra $ NUM hassle wait line hour go preservation jazz good cause splurge 

 fantastic   true musician great personality boot imagine concert like NUM year ago band member dapper engaging insanely talented   tiny hole wall space hold maybe NUM people intimate nice smile face musician share craft nola"
5.0,2,0,1,great experience   completely new customer   appointment plan got rain dealership busy   need pa state emissions   inspection dread total ripoff place add thing want   see place well review yelp shop area   keystone discount tire take NUM pontiac torrent inspection wait free coffee   look irregular outer tire wear car rack inspection   appreciate technician let look problem    major   easily correctable alignment future   bill friendly knowledgable straightforward overall analysis car   car fully inspect stickere hour bill jack add ons    recommend get mailing list coupon
5.0,0,1,0,wow think son phone repair drop take half hour professional excellent service thrilled
1.0,0,0,0,service management terrible mess NUM order waiter get mad start curse manager offer drink free mess food cold nasty eat half wait hour dine cracker barrel experience
4.0,1,0,2,"number dog friendly hotel city know expect usually motel like   heart city 

 walk tentatively hotel lobby labrador golden mix easy hide 

 get desk register feel uneasy   bf assure dog friendly hotel reception nice immediately put ease check attendant ask bentley treat fullly enjoy reception person ask like welcome kit bentley holy moly course dog dish mat treat etc blow away  

 plus guest hotel stop compliment pet queen bentley room floor awesome 

 go walk car attendant greet impressed service decide come extra night 

 thank loews not realize hotel dog friendly especially big dog"
3.0,1,0,0,food good   unfortunately consistent    order get year time taste incredible like different people kitchen know NUM time excellent   ugh
1.0,0,0,0,"location twice 

 time mediocre second time disappointing beggar belief order rib send half warm half refrigerator cold come hot cold time edible manager come time apologize offer comp kind guy cause fuss compe send time cook properly insincere apology piss write review"
3.0,1,0,1,"try raman place crazy variety selection stellar broth excited raman get cheu   maybe matter taste personally fan thick noodle extremely salty broth  

 service great nice selection beer   friend go love time   honestly sorry big fan   hope try   oddball"
5.0,0,0,0,"federal doughnuts new concession ballpark love doughnut fried chicken  

 concession stand near NUM gluten free dedicated   offer pizza cheesesteak brownie cookie"
4.0,0,0,1,"look like second red kings restaurant chinatown disappoint place open yesterday exactly sure replace red king street second helping spicy szechuan food 

 order takeout pick dan dan noodles shredded pork garlic sauce dish spice level dish perfect   extremely mouth burning delicious flavor sweet earthy fresh portion generous great leftover wait try dish come sit dinner karaoke room upstairs plus byob"
5.0,0,0,0,busy chick fil see manage quick exceptional service seriously know quick great time favorite place
5.0,0,0,0,good place salad time town lunch fast veggie fresh
5.0,1,0,0,parent take oak alley laura plantation tour september 26th NUM   forget driver informative drive plantation   schedule perfect   drop time tour free time walk property   flexible drop location return drive   get near jackson square get enjoy rest afternoon french quarter
4.0,0,0,0,twice brunch enjoy immensely try delicious particularly grit scallion sour cream room freeze sure bring sweater
5.0,1,0,0,love place well hot dog chili dog time yum
5.0,2,0,1,sweet spot waterline come live music friend saturday cool good local beer town far like concept notch fig mountain definitely prefer topa cool order incredible food nook restaurant walk foot lama dog waterline love
5.0,1,0,0,"great customer service little pick area accommodating come get group NUM get realize bill NUM instead NUM call refund money extra ticket minute 

 tour fun laugh smile tour guide funny see lot alligator baby swim water grown one see turtle bird tour guide baby alligator hold raise little big late hatch die bear ride fun go fast guide trick boat highly recommend tour"
5.0,4,0,0,westfall replace roof april pleased entire process quality roof excellent communication excellent follow happy choose company replace roof
4.0,1,0,0,good food reasonably price nice staff ideal eat go fast food approach vegan food make lot sense know buffalo bella dish push hard money cheesesteak way pro tip sweet potato fry
3.0,0,0,0,raman okay spectacular service okay good place quick stop choice twice continue
5.0,0,0,0,menu satisfy craving clean trendy delicious definitely recommend go early NUM wait tend long NUM honestly soooo worth wait leave feel incredible satisfied
5.0,0,0,0,brisket sandwich side drink 9.99 great barbecue affordable price wonderful potato casserole cream spinach bake bean green bean
4.0,0,0,0,food service amazing wish vegetarian vegan option wait come
3.0,0,0,0,great food terrible customer service time different old waitress pleasant deal whatsoever owner hand lovely
5.0,0,0,0,hear place plane ride franklin local   recommend brave line try nashvilles good breakfast spot   right   holly cow place kick butt wait line lucky miss rush say waitress    super savory corn pancake bacon salsa sour cream good place stop south~~~
1.0,2,1,0,omg believe kind service exist   husband call appointment detailing sat michael call confirm fri head distance home   michael say know want detail thou specifically mention   advise come follow sit instead   agree reach NUM following week   guess   workshop closed   call say busy wait half hour car   head breakfast come 9:30am hope chance   come alex partner open shop 9:30am   1.5 hour away appt time sight michael   alex try call michael hold   give horrendous experience
5.0,0,0,0,numerous thing happen require additional service office guy office notch trustworthy take great care go afraid recommend office mother
1.0,1,0,0,stay saint year girl trip lobby lovely cool bar restaurant help ohh ahh walk   thing accustomed stay hotel ambiance little sexy overkill friendly etc   think oh shhhh go great weekend   check hour girl arrive ton work need set laptop order room service work NUM hour straight leave buy bottle mani pedi   girl arrive trouble nola supervision pop dinner come giggle usual hugh fly roach   freak   literally walk right room desk   tell send maintenance worker handle   good bold cohort prefer live scene room tell NUM   room small spider dead small bug corner window tv work lamp bulb come   point NUM know stay past 8:15am not want sit purse let luggage hotel online normal hotel w book rest trip NUM come go manager come room demand immediately   young gentleman come apologize   thank apology politely request money immediately    oblige ask   consider come change bless heart dear
5.0,3,2,1,"decide need new door $ NUM     green project 

 bunch leave build supply random bit lumber roof material maybe paint   bring end landfill   green project"
1.0,1,0,0,"bad place visit bouncer rude place think cause broadway treat people bad charge 
  tourist live visit recommend"
5.0,0,0,0,stop lunch menu girlfriend place extremely clean food point   affordable wait
1.0,0,1,0,"disappointing level come year quality food fall cliff strike share artichoke start clearly prepare eg cold inside flesh cook   strike wife greek salad clearly come bag extremely overdress tasteless dressing   strike grill yellowtail basically execrable finish overcooked inferior frozen piece fish unacceptable sb 

 short great setting good service horrible food worth visit place need quality food go end low state dive tourist"
5.0,2,0,1,"milktooth place want good breakfast cocktail twist traditional brunch glance menu think hear food breakfast right guarantee matter order go enjoy 

 milktooth popular brunch place indy mean typically wait trust worth usual NUM minute wait weekend little fast get walk bar coffee drink pastry snack preview amazing meal 

 menu change time time thing stay menu change ingredient love variation dutch pancake raclette grill cheese die   make boozy breakfast pass michelada sit outside warm"
4.0,1,0,0,"bar staff amazing get room upgrade honeymoon view gorgeous room well hilton rust tub floor weird stain tile bathroom NUM star great staff valet park couple street con 

 recommend want literally work downtown area st louis lot cool bar restaurant friday night"
5.0,15,0,2,take beginning class love perfectly paced move difficult stretch place know exist break small sweat feel great studio clean like buy organic food item
5.0,1,0,0,sure take find place start go chain lobster restaurant want authentic friend recommend lobster haven check online look like type place eat massachusetts visit family disappoint service great fast friendly huge selection favorite visit place want authentic new england seafood purchase live lobster fresh seafood cook
5.0,1,0,0,fabulous good happy hour fresh menu delish- drink time come day
5.0,3,4,3,men club tit plain simple barber get skill hook fresh come NUM year problem maybe time dude try steal cut tim keep real say cut ryan thank tim
5.0,0,0,0,husband come love food fresh service great highly recommend place love sushi hibachi
4.0,0,1,0,"oh chickie pete perfect place watch sport indulge 

 doubt good food seat grab beer mussel red crab fry way thoroughly enjoy place game time stadium 

 favs crab fry mussel red white overload garlic spicy pull peel shrimp steamer mood right blue crab lot work tasty place make get dirty food easy sink rinse mess hand good touch 

 sum chickie pete philadelphia institution good time strongly suggest go enjoy experience 

 note sure remember thing come major sporting event NUM table NUM deal ton drunk people absolutely people annoying right frame mind"
5.0,0,0,0,"prompt professional saturday 
 simple mirror fix easy charlotte great"
3.0,0,0,0,good choice union station st. louis   ponchartrain server say tilapia menu name fish clue   ponchartrain good mushroom cream sauce   shrimp cocktail lump crab cake appetizer fine wonderful   drink service perfectly acceptable   dine outside patio weather nice inside look comfy bit casual
5.0,1,0,0,stop drink yesterday atmosphere get a+   unique concept st. pete area   attention detail remodel outstanding feel like harry potter movie   background music set low volume clearly hear friend shout hear perfect old library esque environment work bar michael peggy friendly overall interesting people talk    eat dinner come speak food definitely try price meat cheese tray well comparable place area   definitely recommend check place
5.0,2,2,2,yes love place maple street patisserie bomb.com disappoint good blueberry muffin entire life delicious breakfast lunch spot specialty cake swing mardi gras grab king cake owner ziggy man run work crazy hour scrumptious baked good beat place
3.0,0,0,0,"good burger bourbon black bleu cook like want tasty 

 give NUM star wait big party NUM adult NUM kid take hour food take long regardless people table"
4.0,0,0,0,towner guest place consistently katie variety food wonderfully prepare 2nd reasonably price delicious katie disappoint choose grill erster shrimp grit cuban sandwich pizza soup salad pleased great meal daily special hi lite local seasonal offering thing fresh service staff warm friendly sunday want time arrival church let bit wait say manage enjoy bottomless mimosas
4.0,5,2,4,"come attend zurich classic golf tournament warm bit humid tasty ice cream cone lucke find parking space street interior cute comfy 

 selection crazy huge sample couple unusual flavor go scoop cookie monster ice cream cone ice cream hit spot enjoy bc overly sweet 

 creole creamery definitely worth check"
5.0,0,0,1,love place   come year   little funky order escargot safety reason come lot saki great roll mountain rice sashimi way   young atmosphere loud dance music saki
5.0,0,0,0,absolutely love try favorite far backyard bowl need try husband kid size split large ingredient good quality   fill food quality ingredient price reasonable pretty busy patience worth wait
4.0,0,0,0,okay service bit interesting person new food presentation good need add rice potato salad gumbo sprite flat need anyways
3.0,0,0,0,pretty good pancake place little disorganized way run busy pancake pretty good super sweet good price point serve breakfast day definitely plus particularly special
5.0,1,0,0,"great find wonderful staff 
 love find definitely"
5.0,1,0,0,come kid staff watch kid grow personable nice prompt service yoli frank absolute good food amazing absolutely love shred beef burro cheese crisp feel true authentic mexican food
2.0,0,0,1,"dine get NUM star disappointing service venue fall short 

 food ok maybe place NUM star 

 order lamb kebab taste ok plain sauce lettuce meat"
5.0,0,0,0,good middle eastern restaurant area food great consistent make tummy happy
